DayNumber,Date,Time,COT
179,2015-6-28,11:40,6.6467
180,2015-6-29,12:20,-99.0
181,2015-6-30,11:25,-99.0
182,2015-7-1,12:10,27.4678
183,2015-7-2,11:15,7.93
184,2015-7-3,11:55,-99.0
185,2015-7-4,11:00,6.8789
186,2015-7-5,11:45,-99.0
187,2015-7-6,12:25,2.352
188,2015-7-7,11:35,2.7825
189,2015-7-8,12:15,2.235
190,2015-7-9,11:20,-99.0
191,2015-7-10,12:05,-99.0
192,2015-7-11,11:10,4.01
193,2015-7-12,11:50,-99.0
194,2015-7-13,10:55,9.3144
195,2015-7-14,11:40,5.1362
196,2015-7-15,12:20,9.8522
197,2015-7-16,11:25,8.75
198,2015-7-17,12:10,7.44
199,2015-7-18,11:15,-99.0
200,2015-7-19,11:55,-99.0
201,2015-7-20,11:00,2.4311
202,2015-7-21,11:45,32.44
203,2015-7-22,12:25,-99.0
204,2015-7-23,11:30,5.0143
205,2015-7-24,12:15,21.6933
206,2015-7-25,11:20,-99.0
207,2015-7-26,12:05,-99.0
208,2015-7-27,11:10,-99.0
209,2015-7-28,11:50,-99.0
210,2015-7-29,10:55,-99.0
211,2015-7-30,11:40,-99.0
212,2015-7-31,12:20,2.255
213,2015-8-1,11:25,6.0867
214,2015-8-2,12:10,1.4333
215,2015-8-3,11:15,67.3622
216,2015-8-4,11:55,-99.0
217,2015-8-5,11:00,6.2512
218,2015-8-6,11:45,15.1944
219,2015-8-7,12:25,103.8329
220,2015-8-8,11:35,7.1933
221,2015-8-9,12:15,7.3411
222,2015-8-10,11:20,4.15
223,2015-8-11,12:05,-99.0
224,2015-8-12,11:10,14.6756
225,2015-8-13,11:50,-99.0
226,2015-8-14,10:55,-99.0
227,2015-8-15,11:40,-99.0
228,2015-8-16,12:20,5.934
229,2015-8-17,11:25,-99.0
230,2015-8-18,12:10,2.012
231,2015-8-19,11:15,-99.0
232,2015-8-20,12:00,-99.0
233,2015-8-21,11:00,43.6856
234,2015-8-22,11:45,4.83
235,2015-8-23,12:25,10.9811
236,2015-8-24,11:35,10.17
237,2015-8-25,12:15,4.5989
238,2015-8-26,11:20,7.2989
239,2015-8-27,12:05,-99.0
240,2015-8-28,11:10,-99.0
241,2015-8-29,11:50,-99.0
242,2015-8-30,10:55,26.39
243,2015-8-31,11:40,3.4129
244,2015-9-1,12:20,3.0562
245,2015-9-2,11:25,6.125
246,2015-9-3,12:10,4.63
247,2015-9-4,11:15,1.6414
248,2015-9-5,12:00,-99.0
249,2015-9-6,11:00,-99.0
250,2015-9-7,11:45,5.59
251,2015-9-8,10:50,15.29
252,2015-9-9,11:35,36.3767
253,2015-9-10,12:15,5.0767
254,2015-9-11,11:20,4.4733
255,2015-9-12,12:05,-99.0
256,2015-9-13,11:10,2.8867
257,2015-9-14,11:50,-99.0
258,2015-9-15,10:55,27.7367
259,2015-9-16,11:40,11.8833
260,2015-9-17,12:20,5.8444
261,2015-9-18,11:25,6.64
262,2015-9-19,12:10,-99.0
263,2015-9-20,11:15,7.6478
264,2015-9-21,12:00,-99.0
265,2015-9-22,11:00,37.3222
266,2015-9-23,11:45,3.846
267,2015-9-24,10:50,4.9667
268,2015-9-25,11:35,11.9744
269,2015-9-26,10:40,2.8022
270,2015-9-27,11:20,4.2837
271,2015-9-28,12:05,-99.0
272,2015-9-29,11:10,8.5778
273,2015-9-30,11:50,-99.0
274,2015-10-1,10:55,5.2867
275,2015-10-2,11:40,5.3756
276,2015-10-3,12:20,11.2211
277,2015-10-4,11:25,2.0533
278,2015-10-5,12:10,-99.0
279,2015-10-6,11:15,7.31
280,2015-10-7,12:00,-99.0
